门市名称,地址,营业时间,座标,附加服务
基隆新豐門市,基隆市中正區新豐街162巷309號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~18:00,"(25.1382825, 121.7848951)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Outdoor Pickup 店外取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
新竹北門市,新竹縣竹北市光明一路372號(文化局對面),星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30,"(24.830972, 121.0127)","Pour Over 手沖咖啡, Starbucks Reserve™ 典藏咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
新竹新豐門市,新竹縣新豐鄉新興路202號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00,"(24.869795, 120.996803)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
宜蘭頭城門市,宜蘭縣頭城鎮青雲路3段396號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~18:00,"(24.861677, 121.828181)","Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Outdoor Pickup 店外取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
新竹日光門市,新竹市東區關新路38號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30,"(24.785303, 121.018757)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
新竹關埔門市,新竹市東區埔頂二路71 號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30,"(24.790832, 121.013136)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, DT Pickup 車道取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Drive-Thru 車道服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
介壽門市,新竹市東區介壽路47號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00,"(24.778604, 121.019361)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
新竹達門市,新竹市東區力行二路1號,星期一、星期二、星期三、星期四、星期五 07:00~19:00,"(24.7738401, 121.019329)",
聯發科門市,新竹市東區篤行一路1號,星期一、星期二、星期三、星期四、星期五 07:30~20:00,"(24.7721962, 121.0195487)",
聯電門市,新竹市東區力行二路3號,星期一、星期二、星期三、星期四、星期五 07:30~19:00,"(24.770910, 121.019348)",Starbucks Wi-Fi 無線上網
台積電門市,新竹市東區新竹科學園區力行六路8號4樓,星期一、星期二、星期三、星期四、星期五 07:30~19:00,"(24.773545, 121.012577)",Nitro Cold Brew 氮氣冷萃咖啡
台積電12P7門市,新竹市東區園區二路188號,星期一、星期二、星期三、星期四、星期五 07:30~19:00,"(24.769700, 121.014150)",
台積電P4門市,新竹市東區科學園區園區二路168號,星期一、星期二、星期三、星期四、星期五 07:30~19:00,"(24.771216, 121.013023)",
友達GRC門市,新竹市東區工業東三路1號,星期一、星期二、星期三、星期四、星期五 07:30~16:30,"(24.776972, 121.008276)",Starbucks Wi-Fi 無線上網
光復清大門市,新竹市東區光復路二段406號,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 06:30~20:30,"(24.797196, 120.996634)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
台積電RD門市,新竹縣寶山鄉科環路168號,星期一、星期二、星期三、星期四、星期五 07:30~19:00,"(24.765583, 121.009387)","Nitro Cold Brew 氮氣冷萃咖啡, Starbucks Wi-Fi 無線上網"
瑞昱門市,新竹市東區園區二路九號1F,星期一、星期二、星期三、星期四、星期五 07:30~19:00,"(24.780559, 120.998075)","Nitro Cold Brew 氮氣冷萃咖啡, Starbucks Wi-Fi 無線上網"
新竹大潤發門市,新竹市東區忠孝路300號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:00~21:00,"(24.806316, 120.984937)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
新竹台醫門市,新竹市北區經國路一段442巷25號,星期一、星期二、星期三、星期四、星期五 07:00~15:00,"(24.816341, 120.979786)",Starbucks Wi-Fi 無線上網
台積電5門市,新竹縣寶山鄉園區三路121號,星期一、星期二、星期三、星期四、星期五 07:30~19:00,"(24.774029, 120.998317)",
研新門市,新竹市東區科學園區研新二路6號,星期一、星期二、星期三、星期四、星期五 07:30~19:00,"(24.778583, 120.991683)",
新竹動物園門市,新竹市東區博愛街111號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:30,"(24.800406, 120.979501)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
新竹巨城門市,新竹市東區中央路229號 1樓,星期一、星期二、星期三、星期四、星期日 09:00~21:30，星期五、星期六 09:00~22:00,"(24.809356, 120.975076)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
園區門市,新竹市北區新竹科學工業園區研新一路9號1樓,星期一、星期二、星期三、星期四、星期五 07:30~19:00,"(24.774325, 120.991494)",
新竹大魯閣門市,新竹市北區湳雅街 91 之2 號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(24.819399, 120.969781)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
羅東門市,宜蘭縣羅東鎮興東路97號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(24.678791, 121.768564)","Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
新竹州圖門市,新竹市東區文化街8號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(24.805215, 120.971232)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
新竹北大門市,新竹市東區北大路109 號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30,"(24.810208, 120.969088)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
西大門市,新竹市東區西大路323號1樓,星期一、星期二、星期三、星期四、星期日 08:30~21:30，星期五、星期六 08:30~22:00,"(24.801428, 120.964676)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Outdoor Pickup 店外取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
新竹竹光門市,新竹市北區西大路687號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30,"(24.811182, 120.956424)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
福隆觀海門市,新北市貢寮區福隆街41號,星期一、星期二、星期三、星期四、星期五 09:30~18:00，星期六、星期日 08:00~19:00,"(25.019240, 121.945150)","Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
頭份尚順門市,苗栗縣頭份鎮中央路105號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 09:00~21:30,"(24.688144, 120.904153)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
頭份中央門市,苗栗縣頭份鎮中央路372號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00,"(24.693360, 120.900250)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
竹南門市,苗栗縣竹南鎮環市路二段112號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30,"(24.686760, 120.869583)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, DT Pickup 車道取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Drive-Thru 車道服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
苗栗高鐵門市,苗栗縣後龍鎮高鐵三路268號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30,"(24.605641, 120.82537)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
苗栗國華門市,苗栗縣苗栗市國華路1128號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00,"(24.563519, 120.813538)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Outdoor Pickup 店外取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
西湖休息站門市,苗栗縣西湖鄉湖東村8鄰埔頂29號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00,"(24.566064, 120.761192)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
花蓮和平門市,花蓮縣秀林鄉和平263號,星期一、星期二、星期三、星期四、星期五、星期日 08:30~18:30，星期六 08:30~20:00,"(24.301446, 121.75142)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
泰安北門市(北向),台中市后里區九甲七路400號(北上泰安服務區),星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:00~22:00,"(24.328891, 120.716592)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
泰安南門市(南向),台中市后里區安眉路113號(南下泰安服務區),星期一、星期二、星期三、星期四、星期日 07:30~21:00，星期五、星期六 07:00~21:00,"(24.330464, 120.711329)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務"
美光門市,台中市后里區后科南路88號(2樓餐廳),星期一、星期二、星期三、星期四、星期五 07:30~17:30,"(24.316127, 120.725602)",Starbucks Wi-Fi 無線上網
麗寶鐘樓門市,台中市后里區月眉東路2段181號,星期一、星期二、星期三、星期四 11:00~21:30，星期五 11:00~22:00，星期六 10:30~22:00，星期日 10:30~21:30,"(24.325189, 120.701558)","Nitro Cold Brew 氮氣冷萃咖啡, Starbucks Wi-Fi 無線上網"
台中麗寶門市,台中市后里區福容路201號,星期一、星期二、星期三、星期四 11:00~21:30，星期五 11:00~22:00，星期六 10:30~22:00，星期日 10:30~21:30,"(24.324293, 120.699299)",Starbucks Wi-Fi 無線上網
豐原向陽門市,台中市豐原區向陽路182號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30,"(24.252247, 120.725841)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Outdoor Pickup 店外取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
清境門市,南投縣仁愛鄉定遠新村26-1號1樓,星期一、星期二、星期三、星期四 09:00~18:00，星期五、星期六、星期日 09:00~19:00,"(24.043907, 121.156931)","Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
豐原門市,台中市豐原區復興路2號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 09:00~22:00,"(24.250665, 120.720648)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
豐原家樂福門市,台中市豐原區成功路500號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00,"(24.252028, 120.706136)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
豐原大道門市,台中市豐原區豐原大道一段585號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(24.237966, 120.703818)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, DT Pickup 車道取餐, Drive-Thru 車道服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
花蓮中央門市,花蓮縣花蓮市中央路四段11號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~21:00,"(23.996522, 121.594569)","Pour Over 手沖咖啡, Starbucks Reserve™ 典藏咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
花蓮新站門市,花蓮縣花蓮市國聯一路100號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:00~21:00,"(23.994124, 121.601638)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
台中慈濟門市,台中市潭子區豐興路一段88號二樓,星期一、星期二、星期三、星期四、星期五 07:00~18:00，星期六 07:00~14:00,"(24.195771, 120.722019)",Starbucks Wi-Fi 無線上網
潭子門市,台中市潭子區勝利路188號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(24.211600, 120.700628)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Outdoor Pickup 店外取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
花蓮遠百門市,花蓮縣花蓮市和平路581號,星期一、星期二、星期三、星期四、星期五 08:30~21:30，星期六、星期日 08:00~21:30,"(23.978625, 121.598621)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
花蓮門市,花蓮縣花蓮市中山路231號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~22:00,"(23.978018, 121.60845)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
清水站3F,台中市清水區吳厝二街89號3樓,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00,"(24.281251, 120.601381)","Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Starbucks Wi-Fi 無線上網"
軍功東山門市,台中市北屯區軍功路一段720號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30,"(24.174252, 120.71914)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Outdoor Pickup 店外取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
大雅門市,台中市大雅區中清路三段1205號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30,"(24.225054, 120.645371)","Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
崇德昌平門市,台中市北屯區崇德路三段398號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:30,"(24.188335, 120.686426)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Drive-Thru 車道服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
松竹洲際門市,台中市北屯區松竹路三段1133號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:00,"(24.199544, 120.670637)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, DT Pickup 車道取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Drive-Thru 車道服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
松竹門市,台中市北屯區松竹路二段350號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:30,"(24.182514, 120.690649)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
松竹安順門市,台中市北屯區松竹路三段128號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(24.182473, 120.680327)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, DT Pickup 車道取餐, Starbucks Wi-Fi 無線上網"
文心昌平門市,台中市北屯區文心路四段817號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(24.171583, 120.691676)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
太平門市,台中市太平區中山路四段21號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00,"(24.149506, 120.713232)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
中清門市,台中市北屯區中清路二段769號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00,"(24.186368, 120.663443)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, DT Pickup 車道取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Drive-Thru 車道服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
清水門市,台中市清水區中華路313號,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00,"(24.268364, 120.566425)","Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Outdoor Pickup 店外取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
洄瀾門市,花蓮縣吉安鄉南濱路一段505號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:30~20:30,"(23.938631, 121.594620)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, DT Pickup 車道取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Drive-Thru 車道服務, Starbucks Wi-Fi 無線上網"
崇德北興門市,台中市北區崇德路一段481號1-2樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(24.164001, 120.684878)","Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
台積電15門市,台中市大雅區科雅六路1號,星期一、星期二、星期三、星期四、星期五 07:30~19:00,"(24.214775, 120.614997)",Nitro Cold Brew 氮氣冷萃咖啡
中清太原門市,台中市北區中清路一段510號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:00,"(24.165315, 120.674081)",Starbucks Wi-Fi 無線上網
太平中興門市,台中市太平區中興東路136號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(24.130603, 120.721150)","Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
中醫門市,台中市北區育德路2號,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:30~19:00,"(24.156638, 120.681047)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
中醫二門市,台中市北區學士路2號1樓 (位於中國醫藥大學附設醫院五權院區急重症大樓一樓),星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:30~19:00,"(24.154058, 120.682808)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
中友門市,台中市北區三民路三段161號1樓C棟,星期一、星期二、星期三、星期四、星期日 09:00~21:30，星期五、星期六 09:00~22:00,"(24.151964, 120.684866)","Mobile Order & Pay 行動預點, Pickup 到店自取, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
中友二門市,台中市北區三民路三段161號C棟2樓,星期一、星期二、星期三、星期四、星期五 11:00~21:30，星期六、星期日 11:00~22:00,"(24.151684, 120.684697)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
逢甲大學門市,台中市西屯區文華路100號,星期一、星期二、星期三、星期四、星期五 08:30~17:30，星期六、星期日 09:00~16:30,"(24.180980, 120.646428)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務"
台積電15B門市,台中市西屯區新科路1號,星期一、星期二、星期三、星期四、星期五 07:30~19:00,"(24.211828, 120.608549)","Nitro Cold Brew 氮氣冷萃咖啡, Starbucks Wi-Fi 無線上網"
文心甘肅門市,台中市西屯區文心路三段135號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(24.169602, 120.656018)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
日曜門市,台中市中區自由路二段94號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 11:00~22:00,"(24.142893, 120.685695)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
黎明福科門市,台中市西屯區黎明路三段289號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~21:30,"(24.178827, 120.637328)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, DT Pickup 車道取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Drive-Thru 車道服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
台中金典門市,台中市西區健行路1049號B1,星期一、星期二、星期三、星期四、星期五 11:00~22:00，星期六、星期日 10:30~22:00,"(24.1559729, 120.66317)","Mobile Order & Pay 行動預點, Pickup 到店自取, Borrow & Return a Cup 循環杯租借/歸還服務"
台中LALA門市,台中市東區進德路600號,星期一、星期二、星期三、星期四、星期五 11:00~22:00，星期六、星期日 10:30~22:00,"(24.134816, 120.691463)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
